ProductId,Category,MainCategory,TaxTarifCode,SupplierName,WeightMeasure,WeightUnit,Description,Name,ProductPicUrl,Status,Quantity,UoM,CurrencyCode,Price,Width,Depth,Height,DimUnit,Rating
"HT-2027","Accessories","Computer Systems","1","Titanium",0.15,"KG","Removable jewel case labels, zero residues (100)","Removable CD/DVD Laser Labels","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-2027.jpg","In Stock",25,"PC","EUR",8.99,5.5,2,2,"cm",4
"HT-2026","Accessories","Computer Systems","1","Titanium",0.2,"KG","Quality cables for notebooks and projectors","Audio/Video Cable Kit - 4m","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-2026.jpg","In Stock",16,"PC","EUR",29.99,21,10.2,13,"cm",4
"HT-2025","Accessories","Computer Systems","1","Titanium",0.65,"KG","Organizer and protective case for 264 CDs and DVDs","CD/DVD case: 264 sleeves","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-2025.jpg","In Stock",26,"PC","EUR",44.99,13,13,20,"cm",4
"HT-2001","Accessories","TV, Video & HiFi","1","Titanium",0.84,"KG","10"" LCD Screen, storage battery holds up to 8 hours","10"" Portable DVD player","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-2001.jpg","In Stock",21,"PC","EUR",449.99,24,19.5,29,"cm",4
"HT-2000","Accessories","TV, Video & HiFi","1","Titanium",0.79,"KG","7"" LCD Screen, storage battery holds up to 6 hours!","7"" Widescreen Portable DVD Player w MP3","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-2000.jpg","In Stock",20,"PC","EUR",249.99,21.4,19,27.6,"cm",4
"HT-1603","Desktop Computers","Computer Systems","1","Titanium",6.8,"KG","3,4 Ghz quad core, 16 GB DDR3 SDRAM, 4000 GB Hard Disc, Graphic Card: Hurricane GX, Windows 8","Gaming Monster Pro","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1603.jpg","In Stock",25,"PC","EUR",1700,27,28,42,"cm",4
"HT-1602","Desktop Computers","Computer Systems","1","Titanium",5.9,"KG","3,4 Ghz quad core, 8 GB DDR3 SDRAM, 2000 GB Hard Disc, Graphic Card: Gladiator MX, Windows 8","Gaming Monster","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1602.jpg","In Stock",24,"PC","EUR",1200,26.5,34,47,"cm",4
"HT-1601","Desktop Computers","Computer Systems","1","Titanium",5.3,"KG","2,8 Ghz dual core, 4 GB DDR3 SDRAM, 1000 GB Hard Disc, Graphic Card: Gladiator MX, Windows 8","Family PC Pro","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1601.jpg","In Stock",20,"PC","EUR",900,25,31.7,40.2,"cm",4
"HT-1600","Desktop Computers","Computer Systems","1","Titanium",4.8,"KG","2,8 Ghz dual core, 4 GB DDR3 SDRAM, 500 GB Hard Disc, Graphic Card: Proctra X, Windows 8","Family PC Basic","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1600.jpg","In Stock",10,"PC","EUR",600,21.4,29,38,"cm",4
"HT-1119","Accessories","Computer Systems","1","Titanium",88,"G","Universal Travel Adapter","Travel Adapter","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1119.jpg","In Stock",10,"PC","EUR",79,2,3.1,3.9,"cm",4
"HT-8000","Laptops","Computer Systems","1","Titanium",4,"KG","Notebook with 2,80 GHz dual core, 4 GB DDR3 SDRAM, 500 GB Hard Disc, Windows 8","ITelO FlexTop I4000","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-8000.jpg","In Stock",11,"PC","EUR",799,31,19,3.1,"cm",4
"HT-8001","Laptops","Computer Systems","1","Titanium",4.2,"KG","Notebook with 2,80 GHz dual core, 8 GB DDR3 SDRAM, 500 GB Hard Disc, Windows 8","ITelO FlexTop I6300c","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-8001.jpg","In Stock",20,"PC","EUR",799,32,20,3.4,"cm",4
"HT-8002","Laptops","Computer Systems","1","Titanium",3.5,"KG","Notebook with 2,80 GHz quad core, 4 GB DDR3 SDRAM, 1000 GB Hard Disc, Windows 8","ITelO FlexTop I9100","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-8002.jpg","In Stock",20,"PC","EUR",1199,38,21,4.1,"cm",4
"HT-8003","Laptops","Computer Systems","1","Titanium",3.8,"KG","Notebook with 2,80 GHz quad core, 8 GB DDR3 SDRAM, 1000 GB Hard Disc, Windows 8","ITelO FlexTop I9800","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-8003.jpg","In Stock",22,"PC","EUR",1388,48,31,4.5,"cm",4
"PF-1000","Accessories","Computer Systems","1","Titanium",0.01,"KG","Flyer for our product palette","Flyer","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/PF-1000.jpg","In Stock",33,"PC","EUR",0,46,30,3,"cm",4
"HT-9999","Tablets","Smartphones & Tablets","1","Titanium",3.8,"KG","10.1-inch Multitouch HD Screen (1280 x 800), 16GB Internal Memory, Wireless N Wi-Fi; Bluetooth, GPS Enabled, 1GHz Dual-Core Processor","Maxi Tablet","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-9999.jpg","In Stock",20,"PC","EUR",749,48,31,4.5,"cm",4
"HT-9998","Smartphones and Tablets","Smartphones & Tablets","1","Titanium",0.75,"KG","5 Megapixel Camera, Wi-Fi 802.11 b/g/n, Bluetooth, GPS Available-GPS support","Smartphone Beta","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-9998.jpg","In Stock",21,"PC","EUR",30,48,31,4.5,"cm",4
"HT-9997","Smartphones and Tablets","Smartphones & Tablets","1","Titanium",3.8,"KG","6-Inch E Ink Screen, Access To e-book Store, Adjustable Font Styles and Sizes, Stores Up To 1,000 Books","e-Book Reader ReadMe","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-9997.jpg","In Stock",23,"PC","EUR",33,48,31,4.5,"cm",4
"HT-9996","Accessories","Smartphones & Tablets","1","Titanium",0.03,"KG","Stylish tablet pouch, protects from scratches, color: black","Tablet Pouch","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-9996.jpg","In Stock",34,"PC","EUR",20,25,40,4.5,"cm",4
"HT-9995","Accessories","Smartphones & Tablets","1","Titanium",0.02,"KG","Durable high quality plastic bump-sleeve, lightweight, protects from scratches, rubber coating, multiple colors available, Accurate design and cut-outs for your device, snap-on design","Smartphone Cover","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-9995.jpg","In Stock",23,"PC","EUR",15,48,31,4.5,"cm",4
"HT-9994","Accessories","TV, Video & HiFi","1","Ultrasonic United",3.8,"KG","1920x1080 Full HD, image stabilization reduces blur, 27x Optical / 32x Extended Zoom, wide angle Lens, 2.7"" wide LCD display","Camcorder View","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-9994.jpg","In Stock",50,"PC","EUR",1388,48,31,27,"cm",4
"HT-9993","Smartphones and Tablets","Smartphones & Tablets","1","Ultrasonic United",3.8,"KG","7 inch 1280x800 HD display (216 ppi), Quad-core processor, 16 GB internal storage, 4325 mAh battery (Up to 8 hours of active use)","Mini Tablet","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-9993.jpg","In Stock",10,"PC","EUR",833,48,31,4.5,"cm",4
"HT-9992","Smartphones and Tablets","Smartphones & Tablets","1","Ultrasonic United",0.75,"KG","7 inch 1280x800 HD display (216 ppi), Quad-core processor, 16 GB internal storage (actual formatted capacity will be less), 4325 mAh battery (Up to 8 hours of active use), white or black","Smartphone Alpha","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-9992.jpg","In Stock",13,"PC","EUR",599,48,31,4.5,"cm",4
"HT-9991","Accessories","Smartphones & Tablets","1","Ultrasonic United",0.02,"KG","Button Clasp, Quality Material, 100% Leather, compatible with many smartphone models","Smartphone Leather Case","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-9991.jpg","In Stock",12,"PC","EUR",25,48,31,4.5,"cm",4
"HT-1251","Laptops","Computer Systems","1","Ultrasonic United",4.2,"KG","Flexible Laptop with 2,5 GHz Quad Core, 15"" HD TN, 16 GB DDR SDRAM, 256 GB SSD, Windows 10 Pro","Astro Laptop 1516","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1251.jpg","In Stock",23,"PC","EUR",989,30,18,3,"cm",4
"HT-1252","Smartphones and Tablets","Smartphones & Tablets","1","Ultrasonic United",0.75,"KG","6 inch 1280x800 HD display (216 ppi), Quad-core processor, 8 GB internal storage (actual formatted capacity will be less), 3050 mAh battery (Up to 8 hours of active use), grey or black","Astro Phone 6","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1252.jpg","In Stock",28,"PC","EUR",649,8,6,1.5,"cm",4
"HT-1253","Laptops","Computer Systems","1","Ultrasonic United",4.2,"KG","Flexible Laptop with 2,5 GHz Dual Core, 14"" HD+ TN, 8 GB DDR SDRAM, 324 GB SSD, Windows 10 Pro","Benda Laptop 1408","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1253.jpg","In Stock",27,"PC","EUR",976,30,18,3,"cm",4
"HT-1254","Flat Screens","Computer Components","1","Ultrasonic United",15,"KG","Optimum Hi-Resolution Widescreen max. 1920 x 1080 @ 85Hz, Dot Pitch: 0.27mm, HDMI, Discontinued-Sub","Bending Screen 21HD","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1254.jpg","In Stock",23,"PC","EUR",250,37,12,36,"cm",4
"HT-1255","Flat Screens","Computer Components","1","Ultrasonic United",16,"KG","Optimum Hi-Resolution Widescreen max. 2048 x 1080 @ 85Hz, Dot Pitch: 0.27mm, HDMI, Discontinued-Sub","Broad Screen 22HD","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1255.jpg","In Stock",5,"PC","EUR",270,39,12,38,"cm",4
"HT-1256","Smartphones and Tablets","Smartphones & Tablets","1","Ultrasonic United",0.75,"KG","7 inch 1280x800 HD display (216 ppi), Quad-core processor, 16 GB internal storage (actual formatted capacity will be less), 4325 mAh battery (Up to 8 hours of active use), white or black","Cerdik Phone 7","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1256.jpg","In Stock",19,"PC","EUR",549,9,15,1.5,"cm",4
"HT-1257","Smartphones and Tablets","Smartphones & Tablets","1","Ultrasonic United",2.8,"KG","10.5-inch Multitouch HD Screen (1280 x 800), 16GB Internal Memory, Wireless N Wi-Fi; Bluetooth, GPS Enabled, 1GHz Dual-Core Processor","Cepat Tablet 10.5","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1257.jpg","In Stock",17,"PC","EUR",549,48,31,4.5,"cm",4
"HT-1258","Smartphones and Tablets","Smartphones & Tablets","1","Ultrasonic United",2.5,"KG","8-inch Multitouch HD Screen (2000 x 1500) 32GB Internal Memory, Wireless N Wi-Fi, Bluetooth, GPS Enabled, 1.5 GHz Quad-Core Processor","Cepat Tablet 8","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1258.jpg","In Stock",24,"PC","EUR",529,38,21,3.5,"cm",4
